sheet_name,column,question_code,question_group,chart_title,field_type,applicable_to,non_empty_count,unique_count,analysis_status,skip_reason,notes,source_header
问卷数据,A,,提交序号,提交序号,metadata,,74,74,skip,系统流水号，不属于问卷分析字段,,提交序号
问卷数据,B,,状态,状态,metadata,,74,1,skip,审核状态字段，且全列常量,,状态
问卷数据,C,Q2,受访身份,受访身份,single_choice,,74,4,analyze,,,Q2- / 您本次的身份是？【单选】
问卷数据,D,Q3,性别,性别,single_choice,,74,2,analyze,,,Q3- / 性别
问卷数据,E,Q4,年龄,年龄,single_choice,,74,4,analyze,,,Q4- / 年龄
问卷数据,F,Q5,联系方式,联系方式,metadata,,6,6,skip,联系方式涉及隐私，不建议纳入分析,,Q5-联系方式（非必填）
问卷数据,G,Q7,总体满意度,总体满意度,rating_10pt,,74,9,analyze,,,Q7- / 请问您对本次在杭州国际博览中心二期参展/参观的总体满意程度如何？【10分制】 / 1分代表“非常不满意”，10分代表“非常满意” / —满意度
问卷数据,H,Q8,整体体验是否达预期,整体体验是否达预期,single_choice,,74,4,analyze,,,Q8- / 在您看来，当前二期作为“测试展会场地”，整体体验是否达到您的预期？【单选】
问卷数据,I,Q9,是否愿意再次参加,是否愿意再次参加,single_choice,,74,3,analyze,,,Q9- / 如果后续二期场馆继续举办展会，您是否愿意再次选择/继续参加？【单选】
问卷数据,J,Q12,到达与入场体验,外部交通便利性,rating_10pt,,68,8,analyze,,原始值中的 11 已按空值处理,Q12- / 请您对以下“到达与入场体验”进行评价【10分制】 / —1. 外部交通便利性（容易到达）
问卷数据,K,Q12,到达与入场体验,停车便利性,rating_10pt,,67,7,analyze,,原始值中的 11 已按空值处理,Q12- / 请您对以下“到达与入场体验”进行评价【10分制】 / —2. 停车便利性
问卷数据,L,Q12,到达与入场体验,入馆流程顺畅性,rating_10pt,,66,7,analyze,,原始值中的 11 已按空值处理,Q12- / 请您对以下“到达与入场体验”进行评价【10分制】 / —3. 入馆流程顺畅性
